t_index	term	df
1194	blackmail	5
1195	blackout	4
1196	blackrob	3
1197	blackti	2
1198	blade	1
1199	blair	15
1200	blakemor	1
1201	blame	56
1202	blanchard	1
1203	blanco	7
1204	bland	1
1205	blanda	1
1206	blank	2
1207	blanket	35
1208	blankli	2
1209	blare	1
1210	blast	109
1211	blatant	2
1212	blaze	6
1213	bleach	1
1214	bleachblond	1
1215	bleacher	1
1216	bleak	1
1217	bled	1
1218	bleed	2
1219	blemish	1
1220	blend	4
1221	bless	9
1222	blew	41
1223	blewup	1
1224	blind	8
1225	blindli	5
1226	blink	3
1227	blister	2
1228	blitz	1
1229	blitzer	1
1230	blizzard	5
1231	bloat	4
1232	bloc	7
1233	block	83
1234	blockad	15
1235	blocker	1
1236	blocki	1
1237	blokosso	1
1238	blond	4
1239	blondhair	1
1240	blood	31
1241	bloodbath	2
1242	bloodchil	2
1243	bloodi	8
1244	bloodiest	1
1245	bloodless	2
1246	bloodsh	9
1247	bloodspatt	1
1248	bloodsplatt	1
1249	bloodstain	1
1250	bloomberg	1
1251	bloomer	1
1252	blous	1
1253	blow	25
1254	blown	11
1255	blowtorch	1
1256	blue	43
1257	blueprint	11
1258	bluewat	1
1259	bluf	5
1260	blunk	1
1261	blunt	2
1262	bluntli	2
1263	blur	2
1264	blurb	1
1265	blusteri	1
1266	blvd	1
1267	bnai	1
1268	board	62
1269	boarder	5
1270	boardwalk	1
1271	boast	3
1272	boat	117
1273	boater	1
1274	boatmen	1
1275	bob	24
1276	bobbi	6
1277	bobic	1
1278	bodi	188
1279	bodien	1
1280	bodin	9
1281	bodon	1
1282	bodyguard	10
1283	bodyhunt	3
1284	boe	2
1285	bog	2
1286	boga	1
1287	bogg	1
1288	bogu	4
1289	bohdan	2
1290	boil	1
1291	boister	1
1292	bojic	1
1293	bold	3
1294	boldli	1
1295	bolivia	1
1296	bolona	2
1297	bolster	12
1298	bolt	1
1299	bomb	255
1300	bombard	2
1301	bombay	5
1302	bombdamag	1
1303	bomber	57
1304	bombet	2
1305	bombey	1
1306	bombladen	2
1307	bombmak	15
1308	bombshel	1
1309	bond	17
1310	bone	52
1311	bonecardi	1
1312	boneweari	1
1313	bonfir	3
1314	bonilla	1
1315	bonni	1
1316	bono	1
1317	bonu	1
1318	boo	3
1319	boobytrap	3
1320	book	26
1321	bookend	1
1322	boom	7
1323	boost	14
1324	booster	1
1325	boot	4
1326	bootbrush	1
1327	booth	8
1328	bor	1
1329	border	53
1330	bore	3
1331	borg	1
1332	bori	7
1333	borisav	1
1334	borislav	3
1335	borisov	1
